Latitude,Longitude,Hour,DayOfWeek,Month,PartOfDay,Police Station,Type_encoded
12.927082,77.588137,14,3,4,0,14,8
12.925458,77.584816,9,4,6,2,14,8
12.932553,77.580342,19,0,8,1,14,8
12.935566,77.589964,9,4,11,2,14,8
12.545787,77.342621,19,6,2,1,14,8
12.55018,77.380103,10,1,12,2,14,8
12.926858,77.583552,13,4,8,0,14,8
12.91945,77.58582,15,6,4,0,14,8
12.917758,77.588496,12,2,12,0,14,8
12.923975,77.579868,12,5,6,0,14,8
12.916869,77.589571,13,2,5,0,14,8
12.91845,77.584881,14,6,3,0,14,8
12.921458,77.58764,13,6,9,0,14,8
12.92556,77.59763,14,6,9,0,14,8
12.92556,77.59763,17,5,11,1,14,8
12.92074,77.59957,18,2,1,1,14,8
12.92847,77.58374,13,4,1,0,14,8
12.92825,77.57483,16,3,9,0,14,8
12.922084,77.589585,12,0,4,0,14,8
12.935688,77.586954,10,4,10,2,14,8
12.92847,77.58374,8,3,12,2,14,8
12.9167,77.59763,18,5,3,1,14,8
12.91945,77.58582,17,0,1,1,14,8
12.92556,77.57561,18,0,2,1,14,8
12.92367,77.58014,16,2,2,0,14,8
12.92556,77.57591,12,0,4,0,14,8
12.915868,77.58954,9,5,5,2,14,8
12.91699,77.58934,10,0,7,2,14,8
12.92367,77.58014,22,5,8,3,14,8
12.92556,77.57561,15,2,6,0,14,8
12.909645,77.632545,10,5,11,2,14,8
12.92556,77.57591,22,3,1,3,14,8
12.915785,77.58695,18,1,2,1,14,8
12.91945,77.58582,12,3,1,0,14,8
12.91945,77.58582,13,3,1,0,14,8
12.92311,77.5807,18,4,11,1,14,8
12.91945,77.58582,10,6,4,2,14,8
12.923675,77.580145,19,4,4,1,14,8
12.9237885,77.589685,16,6,6,0,14,8
12.92367,77.58014,10,6,6,2,14,8
12.92397,77.57968,23,4,7,3,14,8
12.93047,77.57957,2,5,7,3,14,8
12.93091,77.57812,17,4,9,1,14,8
12.91945,77.585805,23,1,8,3,14,8
12.92164,77.59149,19,0,6,1,14,8
12.92178,77.57923,21,6,8,3,14,8
12.92239,77.58076,13,0,11,0,14,8
12.92266,77.5854,21,5,1,3,14,8
12.921455,77.587621,17,4,1,1,14,8
12.92297,77.5807,12,0,1,0,14,8
12.92234,77.58076,13,0,9,0,14,8
12.914568,77.587485,10,1,2,2,14,8
12.91945,77.58582,12,0,2,0,14,8
12.92458,77.584796,10,0,2,2,14,8
12.919458,77.585795,17,6,6,1,14,8
12.919458,77.585795,11,4,1,2,14,8
12.914758,77.587965,21,6,7,3,14,8
12.93457,77.578685,14,5,7,0,14,8
12.92266,77.585845,17,4,3,1,14,8
12.916576,77.586945,17,5,5,1,14,8
12.86984,77.575962,17,4,11,1,14,8
12.92234,77.582254,13,3,10,0,14,8
12.9167,77.59763,16,4,12,0,14,8
12.91992,77.59044,18,3,10,1,14,8
12.92556,77.57561,16,1,1,0,14,8
12.92865,77.58178,20,1,1,1,14,8
12.93183,77.58355,18,0,4,1,14,8
12.94158,77.58758,9,3,4,2,14,8
12.9179,77.58718,20,6,6,1,14,8
12.92316,77.59376,20,3,5,1,14,8
12.92367,77.58014,11,2,9,2,14,8
12.92367,77.58014,11,5,1,2,14,8
12.92023,77.5819,13,5,7,0,14,8
12.92458,77.5846852,8,3,9,2,14,8
12.914686,77.5776952,12,3,9,0,14,8
12.945852,77.576951,14,3,9,0,14,8
12.92952,77.57891,18,2,8,1,14,8
12.92963,77.57702,11,0,12,2,14,8
